ID,FFC,Delivery Program,Tender Closed,Owner Group,BNI,BCA,PBC,EPT,Approval body,Owner Team,Stage1,Stage2,Stage3
Q05388,2359288.62,Major Works - Framework,,Corporate Services,5/02/2016 5:00:00 PM,2016-05-25 17:00:00,30/03/2016 5:00:00 PM,3 Gate Major Infrastructure,People Leadership Group,General Counsel,2017-02-16 00:00:00,2017-12-22 17:00:00,2018-02-16 17:00:00
Q05640,2066075.5899999999,Major Works - Framework,,Corporate Services,11/07/2016 5:00:00 PM,2017-02-28 08:00:00,24/10/2016,2 Gate Major Infrastructure,People Leadership Group,General Counsel,2017-08-11 17:00:00,2017-12-07 17:00:00,2019-06-06 17:00:00
Q05641,1066164.85,Major Works - Framework,,Corporate Services,24/06/2016 5:00:00 PM,2017-02-28 08:00:00,24/10/2016,2 Gate Major Infrastructure,People Leadership Group,General Counsel,2017-08-15 17:00:00,2017-12-21 17:00:00,2018-08-15 17:00:00
Q05643,1122486.9599999997,Major Works - Framework,,Corporate Services,11/07/2016,2017-02-28 10:00:00,24/10/2016,2 Gate Major Infrastructure,People Leadership Group,General Counsel,2017-08-15 17:00:00,2017-12-11 17:00:00,2018-08-15 17:00:00
Q05664,636484.75,Major Works - Framework,,Corporate Services,11/07/2016 8:57:00 AM,2017-02-27 00:00:00,24/10/2016,2 Gate Major Infrastructure,People Leadership Group,General Counsel,2017-08-11 17:00:00,2017-12-07 17:00:00,2019-06-11 17:00:00
Q05666,906031.67,Major Works - Framework,,Corporate Services,8/07/2016 8:58:00 AM,2017-02-28 10:00:00,24/10/2016,2 Gate Major Infrastructure,People Leadership Group,General Counsel,2017-08-11 17:00:00,2017-12-07 17:00:00,2018-08-13 17:00:00
D10101,72868878.15,Major Works - Framework,2022-06-10 17:00:00,Service & Asset Lifecycle,16/09/2019 5:00:00 PM,2022-08-26 17:00:00,27/11/2020 5:00:00 PM,3 Gate Major Infrastructure,"Finance, Audit and Compliance",Major Capital Delivery,2025-02-27 17:00:00,2025-06-02 17:00:00,2027-03-04 17:00:00
D10103,8731545.65,Major Works - Framework,2019-11-19 17:00:00,Service & Asset Lifecycle,30/10/2018 5:00:00 PM,2020-05-18 17:00:00,21/05/2019 5:00:00 PM,3 Gate Major Infrastructure,MD,Major Capital Delivery,2022-03-11 17:00:00,2022-06-15 17:00:00,2024-03-08 17:00:00
D10129,59342000,Major Works - Open Market,2028-04-04 17:00:00,Service & Asset Lifecycle,28/10/2019 5:00:00 PM,2028-07-11 17:00:00,15/12/2026 5:00:00 PM,3 Gate Major Infrastructure,"Finance, Audit and Compliance",Service Enablement - One Water,2031-12-09 17:00:00,2032-03-18 17:00:00,2032-12-06 17:00:00
F10121,774234.8500000001,Major Works - Small Scale,2018-07-13 17:00:00,Service & Asset Lifecycle,2/05/2018 5:00:00 PM,2018-07-27 17:00:00,,2 Gate Major Infrastructure,People Leadership Group,Major Capital Delivery,2021-03-26 17:00:00,2021-07-07 17:00:00,2022-02-24 17:00:00
F10122,538606.2500000001,Major Works - Small Scale,2018-03-23 17:00:00,Service & Asset Lifecycle,14/03/2018 5:00:00 PM,2018-05-25 17:00:00,,2 Gate Major Infrastructure,People Leadership Group,Capital Program Management Office,2019-09-06 17:00:00,2019-12-05 17:00:00,2020-09-08 17:00:00
F10123,2135821.07,Major Works - Small Scale,2018-03-27 17:00:00,Service & Asset Lifecycle,26/03/2018 5:00:00 PM,2018-07-03 17:00:00,,2 Gate Major Infrastructure,People Leadership Group,Major Capital Delivery,2019-10-01 17:00:00,2020-01-10 17:00:00,2021-01-14 17:00:00
F10127,233435.11000000002,Major Works - Small Scale,2018-08-17 17:00:00,Service & Asset Lifecycle,4/05/2018 5:00:00 PM,2018-10-05 17:00:00,,2 Gate Major Infrastructure,People Leadership Group,Major Capital Delivery,2019-01-10 17:00:00,2019-05-15 17:00:00,2022-11-29 17:00:00
F10128,852609.8400000001,Major Works - Small Scale,2019-05-22 17:00:00,Service & Asset Lifecycle,1/10/2018 5:00:00 PM,2019-09-11 17:00:00,,2 Gate Major Infrastructure,People Leadership Group,Major Capital Delivery,2020-05-14 17:00:00,2020-08-14 17:00:00,2021-05-12 17:00:00
F10133,4376373.6000000015,Major Works - Framework,2019-06-03 17:00:00,Service & Asset Lifecycle,16/05/2018 5:00:00 PM,2019-11-29 17:00:00,,2 Gate Major Infrastructure,Senior Leadership Group,Major Capital Delivery,2024-07-04 17:00:00,2024-09-23 17:00:00,2025-06-25 17:00:00
F10138,4923843.449999997,Major Works - Framework,2019-06-03 17:00:00,Service & Asset Lifecycle,20/06/2018 5:00:00 PM,2019-11-29 17:00:00,,2 Gate Major Infrastructure,Senior Leadership Group,Major Capital Delivery,2024-07-04 17:00:00,2024-10-04 17:00:00,2025-06-25 17:00:00
F10143,228427.29,Major Works - Small Scale,2018-09-27 17:00:00,Service & Asset Lifecycle,8/08/2018 5:00:00 PM,2019-02-07 17:00:00,,2 Gate Major Infrastructure,People Leadership Group,Major Capital Delivery,2019-07-25 17:00:00,2019-11-08 17:00:00,2020-07-23 17:00:00
F10144,299145.62,Major Works - Small Scale,2018-10-05 17:00:00,Service & Asset Lifecycle,1/08/2018 5:00:00 PM,2019-01-30 17:00:00,,2 Gate Major Infrastructure,People Leadership Group,Major Capital Delivery,2019-09-10 17:00:00,2019-12-11 17:00:00,2020-09-10 17:00:00
F10148,3109326.4099999997,Major Works - Small Scale,2019-07-02 17:00:00,Service & Asset Lifecycle,30/11/2018 5:00:00 PM,2019-08-29 17:00:00,,2 Gate Major Infrastructure,Senior Leadership Group,Service Enablement - One Water,2024-02-29 17:00:00,2024-03-18 17:00:00,2024-03-28 17:00:00
F10154,1895590.0599999994,Major Works - Small Scale,2018-09-17 17:00:00,Service & Asset Lifecycle,4/06/2018 5:00:00 PM,2018-11-21 17:00:00,,2 Gate Major Infrastructure,People Leadership Group,Major Capital Delivery,2020-04-15 17:00:00,2020-08-13 17:00:00,2021-05-24 17:00:00
F10157,4181132.9299999997,Major Works - Small Scale,2019-05-06 17:00:00,Service & Asset Lifecycle,27/08/2018 5:00:00 PM,2019-09-30 17:00:00,,2 Gate Major Infrastructure,Senior Leadership Group,Major Capital Delivery,2021-08-12 17:00:00,2022-03-31 17:00:00,2022-10-25 17:00:00
F10158,3827155.8399999985,Major Works - Small Scale,2019-02-11 17:00:00,Service & Asset Lifecycle,29/08/2018 5:00:00 PM,2019-06-07 17:00:00,,2 Gate Major Infrastructure,Senior Leadership Group,Major Capital Delivery,2021-01-22 17:00:00,2021-06-04 17:00:00,2024-04-22 17:00:00
F10159,1517771.3,Major Works - Small Scale,2019-09-13 17:00:00,Service & Asset Lifecycle,27/08/2018 5:00:00 PM,2019-10-21 17:00:00,,2 Gate Major Infrastructure,People Leadership Group,Major Capital Delivery,2021-01-27 17:00:00,2021-05-04 17:00:00,2024-04-29 17:00:00
