id,ffc,delivery_program,tender_closed,owner_group,bni,bca,pbc,ept,approval_body,owner_team,stage1,stage2,stage3,cdm,ffc_band,status,conception_duration,completion_duration
Q05388,2359288.62,Major Works - Framework,NA,Corporate Services,2016-02-05,2016-05-25,2016-03-30,3 Gate Major Infrastructure,People Leadership Group,General Counsel,2017-02-16,2017-12-22,2018-02-16,CDM-16,< = 5,Completed,54d 0H 0M 0S,267d 0H 0M 0S
Q05640,2066075.59,Major Works - Framework,NA,Corporate Services,2016-07-11,2017-02-28,2016-10-24,2 Gate Major Infrastructure,People Leadership Group,General Counsel,2017-08-11,2017-12-07,2019-06-06,CDM-16,< = 5,Completed,105d 0H 0M 0S,164d 0H 0M 0S
Q05641,1066164.85,Major Works - Framework,NA,Corporate Services,2016-06-24,2017-02-28,2016-10-24,2 Gate Major Infrastructure,People Leadership Group,General Counsel,2017-08-15,2017-12-21,2018-08-15,CDM-16,< = 5,Completed,122d 0H 0M 0S,168d 0H 0M 0S
Q05643,1122486.9599999995,Major Works - Framework,NA,Corporate Services,2016-07-11,2017-02-28,2016-10-24,2 Gate Major Infrastructure,People Leadership Group,General Counsel,2017-08-15,2017-12-11,2018-08-15,CDM-16,< = 5,Completed,105d 0H 0M 0S,168d 0H 0M 0S
Q05664,636484.75,Major Works - Framework,NA,Corporate Services,2016-07-11,2017-02-27,2016-10-24,2 Gate Major Infrastructure,People Leadership Group,General Counsel,2017-08-11,2017-12-07,2019-06-11,CDM-16,< = 5,Completed,105d 0H 0M 0S,165d 0H 0M 0S
Q05666,906031.67,Major Works - Framework,NA,Corporate Services,2016-07-08,2017-02-28,2016-10-24,2 Gate Major Infrastructure,People Leadership Group,General Counsel,2017-08-11,2017-12-07,2018-08-13,CDM-16,< = 5,Completed,108d 0H 0M 0S,164d 0H 0M 0S
D10101,72868878.15,Major Works - Framework,2022-06-10T17:00:00Z,Service & Asset Lifecycle,2019-09-16,2022-08-26,2020-11-27,3 Gate Major Infrastructure,"Finance, Audit and Compliance",Major Capital Delivery,2025-02-27,2025-06-02,2027-03-04,CDM-21,50-80,Ongoing,438d 0H 0M 0S,916d 0H 0M 0S
D10103,8731545.65,Major Works - Framework,2019-11-19T17:00:00Z,Service & Asset Lifecycle,2018-10-30,2020-05-18,2019-05-21,3 Gate Major Infrastructure,MD,Major Capital Delivery,2022-03-11,2022-06-15,2024-03-08,CDM-16,5-10,Completed,203d 0H 0M 0S,662d 0H 0M 0S
D10129,59342000,Major Works - Open Market,2028-04-04T17:00:00Z,Service & Asset Lifecycle,2019-10-28,2028-07-11,2026-12-15,3 Gate Major Infrastructure,"Finance, Audit and Compliance",Service Enablement - One Water,2031-12-09,2032-03-18,2032-12-06,CDM-26,50-80,Ongoing,2605d 0H 0M 0S,1246d 0H 0M 0S
F10121,774234.8500000001,Major Works - Small Scale,2018-07-13T17:00:00Z,Service & Asset Lifecycle,2018-05-02,2018-07-27,NA,2 Gate Major Infrastructure,People Leadership Group,Major Capital Delivery,2021-03-26,2021-07-07,2022-02-24,CDM-16,< = 5,Completed,NA,973d 0H 0M 0S
F10122,538606.2500000001,Major Works - Small Scale,2018-03-23T17:00:00Z,Service & Asset Lifecycle,2018-03-14,2018-05-25,NA,2 Gate Major Infrastructure,People Leadership Group,Capital Program Management Office,2019-09-06,2019-12-05,2020-09-08,CDM-16,< = 5,Completed,NA,469d 0H 0M 0S
F10123,2135821.07,Major Works - Small Scale,2018-03-27T17:00:00Z,Service & Asset Lifecycle,2018-03-26,2018-07-03,NA,2 Gate Major Infrastructure,People Leadership Group,Major Capital Delivery,2019-10-01,2020-01-10,2021-01-14,CDM-16,< = 5,Completed,NA,455d 0H 0M 0S
F10127,233435.11,Major Works - Small Scale,2018-08-17T17:00:00Z,Service & Asset Lifecycle,2018-05-04,2018-10-05,NA,2 Gate Major Infrastructure,People Leadership Group,Major Capital Delivery,2019-01-10,2019-05-15,2022-11-29,CDM-16,< = 5,Completed,NA,97d 0H 0M 0S
F10128,852609.8400000001,Major Works - Small Scale,2019-05-22T17:00:00Z,Service & Asset Lifecycle,2018-10-01,2019-09-11,NA,2 Gate Major Infrastructure,People Leadership Group,Major Capital Delivery,2020-05-14,2020-08-14,2021-05-12,CDM-16,< = 5,Completed,NA,246d 0H 0M 0S
F10133,4376373.6000000015,Major Works - Framework,2019-06-03T17:00:00Z,Service & Asset Lifecycle,2018-05-16,2019-11-29,NA,2 Gate Major Infrastructure,Senior Leadership Group,Major Capital Delivery,2024-07-04,2024-09-23,2025-06-25,CDM-16,< = 5,Completed,NA,1679d 0H 0M 0S
F10138,4923843.449999997,Major Works - Framework,2019-06-03T17:00:00Z,Service & Asset Lifecycle,2018-06-20,2019-11-29,NA,2 Gate Major Infrastructure,Senior Leadership Group,Major Capital Delivery,2024-07-04,2024-10-04,2025-06-25,CDM-16,< = 5,Completed,NA,1679d 0H 0M 0S
F10143,228427.29,Major Works - Small Scale,2018-09-27T17:00:00Z,Service & Asset Lifecycle,2018-08-08,2019-02-07,NA,2 Gate Major Infrastructure,People Leadership Group,Major Capital Delivery,2019-07-25,2019-11-08,2020-07-23,CDM-16,< = 5,Completed,NA,168d 0H 0M 0S
F10144,299145.62,Major Works - Small Scale,2018-10-05T17:00:00Z,Service & Asset Lifecycle,2018-08-01,2019-01-30,NA,2 Gate Major Infrastructure,People Leadership Group,Major Capital Delivery,2019-09-10,2019-12-11,2020-09-10,CDM-16,< = 5,Completed,NA,223d 0H 0M 0S
F10148,3109326.4099999997,Major Works - Small Scale,2019-07-02T17:00:00Z,Service & Asset Lifecycle,2018-11-30,2019-08-29,NA,2 Gate Major Infrastructure,Senior Leadership Group,Service Enablement - One Water,2024-02-29,2024-03-18,2024-03-28,CDM-16,< = 5,Completed,NA,1645d 0H 0M 0S
F10154,1895590.0599999991,Major Works - Small Scale,2018-09-17T17:00:00Z,Service & Asset Lifecycle,2018-06-04,2018-11-21,NA,2 Gate Major Infrastructure,People Leadership Group,Major Capital Delivery,2020-04-15,2020-08-13,2021-05-24,CDM-16,< = 5,Completed,NA,511d 0H 0M 0S
F10157,4181132.93,Major Works - Small Scale,2019-05-06T17:00:00Z,Service & Asset Lifecycle,2018-08-27,2019-09-30,NA,2 Gate Major Infrastructure,Senior Leadership Group,Major Capital Delivery,2021-08-12,2022-03-31,2022-10-25,CDM-16,< = 5,Completed,NA,682d 0H 0M 0S
F10158,3827155.8399999985,Major Works - Small Scale,2019-02-11T17:00:00Z,Service & Asset Lifecycle,2018-08-29,2019-06-07,NA,2 Gate Major Infrastructure,Senior Leadership Group,Major Capital Delivery,2021-01-22,2021-06-04,2024-04-22,CDM-16,< = 5,Completed,NA,595d 0H 0M 0S
F10159,1517771.3,Major Works - Small Scale,2019-09-13T17:00:00Z,Service & Asset Lifecycle,2018-08-27,2019-10-21,NA,2 Gate Major Infrastructure,People Leadership Group,Major Capital Delivery,2021-01-27,2021-05-04,2024-04-29,CDM-16,< = 5,Completed,NA,464d 0H 0M 0S
F10160,2290536.32,Major Works - Framework,2018-08-03T17:00:00Z,Service & Asset Lifecycle,2018-05-24,2018-10-09,NA,2 Gate Major Infrastructure,People Leadership Group,Major Capital Delivery,2019-05-02,2019-12-03,2020-05-02,CDM-16,< = 5,Completed,NA,205d 0H 0M 0S
F10164,3469146.9699999997,Major Works - Small Scale,2024-03-05T17:00:00Z,Service & Asset Lifecycle,2020-02-25,2024-05-27,NA,2 Gate Major Infrastructure,Senior Leadership Group,Major Capital Delivery,2025-05-27,2025-08-20,2027-05-28,CDM-21,< = 5,Ongoing,NA,365d 0H 0M 0S
F10192,29685238.250000007,Major Works - Framework,2021-04-12T17:00:00Z,Service & Asset Lifecycle,2018-08-17,2021-05-28,2018-11-26,3 Gate Major Infrastructure,MD,Major Capital Delivery,2024-01-08,2024-04-10,2025-09-15,CDM-16,20-50,Completed,101d 0H 0M 0S,955d 0H 0M 0S
F10198,2516221.5899999994,Major Works - Small Scale,2019-08-27T17:00:00Z,Service & Asset Lifecycle,2018-12-19,2019-09-25,NA,2 Gate Major Infrastructure,Senior Leadership Group,Major Capital Delivery,2024-04-05,2024-07-05,2025-04-03,CDM-16,< = 5,Completed,NA,1654d 0H 0M 0S
F10200,16181318.11,Major Works - Framework,2020-09-04T17:00:00Z,Service & Asset Lifecycle,2019-03-21,2020-09-25,2020-07-10,3 Gate Major Infrastructure,MD,Major Capital Delivery,2022-03-11,2022-09-02,2024-03-12,CDM-16,10-20,Completed,477d 0H 0M 0S,532d 0H 0M 0S
F10212,18077042.69,Major Works - Framework,2019-11-01T17:00:00Z,Service & Asset Lifecycle,2019-06-25,2019-12-19,NA,3 Gate Major Infrastructure,MD,Major Capital Delivery,2021-12-22,2022-07-11,2023-12-22,CDM-16,10-20,Completed,NA,734d 0H 0M 0S
F10234,2040273.8400000003,Major Works - Small Scale,2019-05-20T17:00:00Z,Service & Asset Lifecycle,2018-12-17,2019-05-29,NA,2 Gate Major Infrastructure,People Leadership Group,Major Capital Delivery,2023-04-13,2023-04-13,2023-04-13,CDM-16,< = 5,Completed,NA,1415d 0H 0M 0S
F10250,1602502.3000000005,Major Works - Small Scale,2019-04-01T17:00:00Z,Service & Asset Lifecycle,2019-01-31,2019-05-14,NA,2 Gate Major Infrastructure,People Leadership Group,Service Enablement - One Water,2021-12-14,2024-03-08,2024-03-08,CDM-16,< = 5,Completed,NA,945d 0H 0M 0S
F10257,2287742.23,Major Works - Small Scale,2020-05-29T17:00:00Z,Service & Asset Lifecycle,2020-01-17,2021-07-20,NA,2 Gate Major Infrastructure,People Leadership Group,Major Capital Delivery,2023-09-07,2023-09-07,2023-09-07,CDM-16,< = 5,Completed,NA,779d 0H 0M 0S
F10260,656020.69,Major Works - Small Scale,2019-08-21T17:00:00Z,Service & Asset Lifecycle,2019-03-27,2020-02-20,NA,2 Gate Major Infrastructure,People Leadership Group,Major Capital Delivery,2020-10-27,2021-02-22,2021-12-21,CDM-16,< = 5,Completed,NA,250d 0H 0M 0S
F10261,282348.07999999996,Major Works - Small Scale,2019-11-08T17:00:00Z,Service & Asset Lifecycle,2019-07-25,2020-01-15,NA,2 Gate Major Infrastructure,People Leadership Group,Major Capital Delivery,2021-06-30,2024-04-29,2024-04-30,CDM-16,< = 5,Completed,NA,532d 0H 0M 0S
F10264,256554.23999999996,Major Works - Small Scale,2019-11-06T17:00:00Z,Service & Asset Lifecycle,2019-06-13,2019-12-10,NA,2 Gate Major Infrastructure,People Leadership Group,Major Capital Delivery,2020-04-14,2020-07-27,2021-06-08,CDM-16,< = 5,Completed,NA,126d 0H 0M 0S
F10279,548820.8700000001,Major Works - Small Scale,2020-11-13T17:00:00Z,Service & Asset Lifecycle,2019-12-04,2021-01-27,NA,2 Gate Major Infrastructure,People Leadership Group,Major Capital Delivery,2021-08-23,2022-02-14,2024-03-28,CDM-16,< = 5,Completed,NA,208d 0H 0M 0S
F10288,818578.21,Major Works - Small Scale,2019-07-17T17:00:00Z,Service & Asset Lifecycle,2019-03-04,2019-10-29,NA,2 Gate Major Infrastructure,People Leadership Group,Major Capital Delivery,2020-07-01,2020-09-30,2021-06-30,CDM-16,< = 5,Completed,NA,246d 0H 0M 0S
F10294,1052753.9,Major Works - Small Scale,2019-09-25T08:00:00Z,Service & Asset Lifecycle,2019-04-02,2019-10-29,NA,2 Gate Major Infrastructure,People Leadership Group,Major Capital Delivery,2020-07-20,2020-11-04,2021-08-24,CDM-16,< = 5,Completed,NA,265d 0H 0M 0S
F10317,725160.2999999999,Major Works - Small Scale,2019-08-14T17:00:00Z,Service & Asset Lifecycle,2019-03-29,2020-03-12,NA,2 Gate Major Infrastructure,People Leadership Group,Major Capital Delivery,2020-10-27,2021-02-22,2021-12-21,CDM-16,< = 5,Completed,NA,229d 0H 0M 0S
F10321,9507047.55,Major Works - Framework,2024-04-15T17:00:00Z,Service & Asset Lifecycle,2019-04-22,2024-06-28,2022-11-25,3 Gate Major Infrastructure,MD,Major Capital Delivery,2028-02-25,2028-06-02,2030-03-08,CDM-21,5-10,Ongoing,1313d 0H 0M 0S,1337d 0H 0M 0S
F10323,425496.2099999999,Major Works - Small Scale,2019-07-11T17:00:00Z,Service & Asset Lifecycle,2019-04-29,2019-08-20,NA,2 Gate Major Infrastructure,People Leadership Group,Service Enablement - One Water,2020-07-13,2023-07-21,2023-07-21,CDM-16,< = 5,Completed,NA,328d 0H 0M 0S
F10337,1700218.729999999,Major Works - Small Scale,2020-02-03T17:00:00Z,Service & Asset Lifecycle,2019-08-14,2020-03-16,NA,2 Gate Major Infrastructure,People Leadership Group,Major Capital Delivery,2021-07-30,2022-11-07,2024-02-19,CDM-16,< = 5,Completed,NA,501d 0H 0M 0S
F10339,3803169.6,Major Works - Small Scale,2023-02-16T17:00:00Z,Service & Asset Lifecycle,2019-09-11,2024-05-16,NA,2 Gate Major Infrastructure,Senior Leadership Group,Major Capital Delivery,2025-07-23,2025-10-23,2026-07-23,CDM-21,< = 5,Ongoing,NA,433d 0H 0M 0S
F10348,5651062.84,Major Works - Small Scale,2023-03-03T17:00:00Z,Service & Asset Lifecycle,2019-10-14,2023-09-28,NA,2 Gate Major Infrastructure,Executive Leadership Group,Major Capital Delivery,2025-02-17,2025-05-23,2026-02-18,CDM-21,5-10,Ongoing,NA,508d 0H 0M 0S
F10349,577444.8100000002,Major Works - Small Scale,2020-10-30T17:00:00Z,Service & Asset Lifecycle,2019-09-30,2020-12-15,NA,2 Gate Major Infrastructure,People Leadership Group,Major Capital Delivery,2021-06-16,2022-08-15,2022-09-30,CDM-16,< = 5,Completed,NA,183d 0H 0M 0S
F10357,1383596.48,Major Works - Small Scale,2020-06-29T17:00:00Z,Service & Asset Lifecycle,2020-04-23,2020-09-23,NA,2 Gate Major Infrastructure,People Leadership Group,Major Capital Delivery,2024-10-29,2025-02-07,2026-02-10,CDM-16,< = 5,Ongoing,NA,1497d 0H 0M 0S
F10358,1064769.8600000003,Major Works - Small Scale,2020-11-27T17:00:00Z,Service & Asset Lifecycle,2019-10-17,2021-04-15,NA,2 Gate Major Infrastructure,People Leadership Group,Major Capital Delivery,2022-11-17,2023-02-27,2024-03-01,CDM-16,< = 5,Completed,NA,581d 0H 0M 0S
F10359,2651352.7300000004,Major Works - Small Scale,2021-04-16T17:00:00Z,Service & Asset Lifecycle,2020-07-13,2021-09-07,NA,2 Gate Major Infrastructure,Senior Leadership Group,Major Capital Delivery,2024-05-14,2024-08-14,2025-05-14,CDM-16,< = 5,Completed,NA,980d 0H 0M 0S
F10365,7567638.62,Major Works - Framework,2024-02-16T17:00:00Z,Service & Asset Lifecycle,2020-04-02,2024-04-16,2024-03-07,3 Gate Major Infrastructure,Executive Leadership Group,Major Capital Delivery,2025-12-24,2026-04-09,2027-01-04,CDM-21,5-10,Ongoing,1435d 0H 0M 0S,617d 0H 0M 0S
F10374,1396896.6400000004,Major Works - Small Scale,2021-09-09T17:00:00Z,Service & Asset Lifecycle,2019-10-17,2021-10-13,NA,2 Gate Major Infrastructure,People Leadership Group,Major Capital Delivery,2023-05-15,2023-08-22,2024-05-14,CDM-16,< = 5,Completed,NA,579d 0H 0M 0S
F10376,929915.16,Contestable,2023-05-26T17:00:00Z,Service & Asset Lifecycle,2019-10-17,2023-07-06,NA,2 Gate Major Infrastructure,People Leadership Group,Major Capital Delivery,2025-02-04,2025-05-12,2026-02-05,CDM-21,< = 5,Ongoing,NA,579d 0H 0M 0S
F10379,942631.62,Contestable,2023-07-06T17:00:00Z,Service & Asset Lifecycle,2019-10-29,2023-08-24,NA,2 Gate Major Infrastructure,People Leadership Group,Major Capital Delivery,2025-05-01,2025-08-01,2026-05-01,CDM-21,< = 5,Ongoing,NA,616d 0H 0M 0S
